INFO 2025-10-21 07:25:50,586 autoreload 30596 35496 Watching for file changes with StatReloader
INFO 2025-10-21 07:54:35,025 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:55:37,808 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:55:37,826 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:55:37,965 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:55:37,985 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:55:38,068 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:55:38,095 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:56:04,239 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:56:04,258 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:56:04,391 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:56:04,409 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:56:04,463 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:56:04,481 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:56:27,723 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:56:27,736 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:56:27,869 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:56:27,885 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:56:27,924 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:56:27,947 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 08:43:32,677 basehttp 8716 38864 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 08:43:32,690 basehttp 8716 38864 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 08:43:32,810 basehttp 8716 38864 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 08:43:32,861 basehttp 8716 38864 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 08:43:32,896 basehttp 8716 38864 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 08:43:32,929 basehttp 8716 38864 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 08:43:43,358 basehttp 8716 38864 "OPTIONS /api/chatbot/active/ HTTP/1.1" 200 0
WARNING 2025-10-21 08:43:43,387 log 8716 38864 Not Found: /api/chatbot/active/
WARNING 2025-10-21 08:43:43,391 basehttp 8716 38864 "GET /api/chatbot/active/ HTTP/1.1" 404 36
INFO 2025-10-21 16:39:50,896 basehttp 8716 24280 "OPTIONS /api/chatbot/analytics/ HTTP/1.1" 200 0
INFO 2025-10-21 16:39:50,952 basehttp 8716 24280 "GET /api/chatbot/analytics/ HTTP/1.1" 200 105
INFO 2025-10-21 16:39:54,684 basehttp 8716 24280 "OPTIONS /api/chatbot/conversations/ HTTP/1.1" 200 0
INFO 2025-10-21 16:39:54,713 basehttp 8716 24280 "GET /api/chatbot/conversations/ HTTP/1.1" 200 52
